
title
movie_types
movie_date
0
夺冠
[' 剧情 ']

1
我在时间尽头等你
[' 爱情 ', ' 奇幻 ', ' 喜剧 ']

2
我的女友是机器人
[' 爱情 ', ' 喜剧 ']

3
八佰
[' 剧情 ', ' 战争 ', ' 历史 ']

4
花木兰
[' 剧情 ', ' 冒险 ']

5
信条
[' 科幻 ', ' 动作 ', ' 剧情 ']

6
荞麦疯长
[' 剧情 ', ' 爱情 ']

7
蓝色防线
[' 纪录片 ', ' 战争 ', ' 历史 ']

8
我和我的祖国
[' 剧情 ']

9
麦路人
[' 剧情 ']

